player,season,position,team_name,player_game_count,qb_sack_rate,pass_rush_snaps,pressures,sacks,expected_sacks,sacks_over_expected,snaps_per_xsack
Cameron Wake,2012,ED,MIA,16,0.20412635298424367,531,86,17,18.258792863052562,-1.2587928630525624,29.08187874098188
Von Miller,2012,ED,DEN,16,0.1957523177162248,436,86,19,16.250334980872996,2.7496650191270042,26.830216147124453
Jared Allen,2012,ED,MIN,16,0.19782447852437027,638,75,11,15.388081563835065,-4.388081563835065,41.460658845181975
Chris Long,2012,ED,SL,16,0.20110888462950102,543,76,12,15.083033091678478,-3.0830330916784785,36.000716613131395
J.J. Watt,2012,DI,HST,16,0.19342684739338825,574,76,21,14.423368347915215,6.576631652084785,39.79652922633479
Aldon Smith,2012,ED,SF,16,0.19387411494569035,503,70,20,13.986929650824047,6.013070349175953,35.96214555711056
Geno Atkins,2012,DI,CIN,16,0.184131933901957,494,78,16,13.797808917188583,2.2021910828114173,35.80278600500119
Derrick Morgan,2012,ED,TEN,16,0.1855974695561901,511,72,9,13.619985989188477,-4.619985989188477,37.518393954709715
Charles Johnson,2012,ED,CAR,16,0.15548111512509535,492,75,14,11.88074197600111,2.1192580239988903,41.41155501851916
Chris Clemons,2012,ED,SEA,16,0.19493500552180215,489,59,11,11.877379227129907,-0.8773792271299072,41.17069857322083
Elvis Dumervil,2012,ED,DEN,16,0.2013890268721069,489,61,13,11.833390019052255,1.1666099809477455,41.32374570707882
Ryan Kerrigan,2012,ED,WAS,16,0.16533955593919492,561,69,9,11.773526419627482,-2.7735264196274816,47.649275162347685
Brian Robison,2012,ED,MIN,15,0.20116675927127553,520,56,9,11.772764682355776,-2.772764682355776,44.16974381381638
Michael Bennett,2012,ED,TB,16,0.16357845963745055,569,71,9,11.724137265100541,-2.7241372651005413,48.532355697826304
Mario Williams,2012,ED,BUF,16,0.20552873735484767,498,56,11,11.702531999397083,-0.7025319993970829,42.55489325093553
Ndamukong Suh,2012,DI,DET,16,0.2012872753822961,509,58,9,11.22886102113729,-2.2288610211372895,45.3296197220586
Kamerion Wimbley,2012,ED,TEN,16,0.18571630871208467,524,58,7,10.991646825964095,-3.9916468259640947,47.67256520307994
Julius Peppers,2012,ED,CHI,16,0.19040831446448245,487,57,13,10.974745990539837,2.0252540094601628,44.37460333203073
Michael Johnson,2012,ED,CIN,16,0.18376510954014802,506,55,13,10.390756279034566,2.6092437209654342,48.69712910319689
Robert Quinn,2012,ED,SL,16,0.20131259232485657,520,45,11,10.252763861681219,0.7472361383187813,50.71803145134876
Jason Pierre-Paul,2012,ED,NYG,16,0.186103747329885,504,56,7,10.25084750018156,-3.2508475001815604,49.16666646256061
Lamarr Houston,2012,ED,OAK,16,0.18997198029098186,448,54,5,10.1177823812368,-5.1177823812368,44.27847754768929
DeMarcus Ware,2012,ED,DAL,16,0.17172101912287446,420,59,14,9.762241230670206,4.237758769329794,43.0229073504636
