player,season,position,team_name,player_game_count,qb_sack_rate,pass_rush_snaps,pressures,sacks,expected_sacks,sacks_over_expected,snaps_per_xsack
Maxx Crosby,2021,ED,LV,17,0.1633448400679423,583,100,10,15.957703077172935,-5.957703077172935,36.53407994750609
Rashan Gary,2021,ED,GB,16,0.19316653135710327,457,81,10,15.275147083916641,-5.275147083916641,29.917878858343695
Nick Bosa,2021,ED,SF,17,0.19334272589554352,518,75,16,14.555092361928548,1.4449076380714523,35.58891878659058
Aaron Donald,2021,DI,LA,16,0.18981341955213585,592,72,12,13.519820366020825,-1.5198203660208254,43.787564033606934
Shaquil Barrett,2021,ED,TB,15,0.1766483876883898,484,75,11,13.221987424893118,-2.2219874248931184,36.6056920526766
Myles Garrett,2021,ED,CLV,17,0.1762457987213486,532,78,18,13.167820701240132,4.832179298759868,40.40152217062743
Emmanuel Ogbah,2021,ED,MIA,17,0.1885764177009401,518,61,11,12.475514409708426,-1.4755144097084258,41.52133394971619
Kenny Clark,2021,DI,GB,16,0.18939735024356397,521,64,3,12.409661904974383,-9.409661904974383,41.98341614699095
Preston Smith,2021,ED,GB,16,0.18861841325695325,437,62,9,12.23238160110425,-3.232381601104249,35.7248501763999
T.J. Watt,2021,ED,PIT,15,0.19664186768798478,407,62,22,12.037878267255552,9.962121732744448,33.80994482284208
Trey Hendrickson,2021,ED,CIN,16,0.1593940589145172,445,75,16,12.005057536249906,3.9949424637500943,37.06771072577528
Cameron Heyward,2021,DI,PIT,17,0.19100229500230018,567,61,11,11.540150842659527,-0.5401508426595267,49.13280664443464
Javon Hargrave,2021,DI,PHI,16,0.1720812412097299,447,61,8,11.235824692834523,-3.235824692834523,39.78346158115723
Harold Landry III,2021,ED,TEN,17,0.17578641201300413,521,64,14,11.226219529732932,2.7737804702670683,46.40921181169833
Jonathan Allen,2021,DI,WAS,17,0.1644058453037121,482,67,10,11.056401015146568,-1.0564010151465677,43.59465610370776
Matthew Judon,2021,ED,NE,17,0.16778753164768875,412,62,14,10.998123614800194,3.0018763851998056,37.46093555864119
Micah Parsons,2021,LB,DAL,16,0.16104501997886156,303,67,14,10.947683312737027,3.052316687262973,27.67708850761843
Jeffery Simmons,2021,DI,TEN,17,0.1776679807272059,634,62,11,10.798210551751863,0.20178944824813705,58.71343191184044
Denico Autry,2021,ED,TEN,17,0.17926650263744082,497,61,11,10.676827607084334,0.3231723929156658,46.54940758528577
Yannick Ngakoue,2021,ED,LV,17,0.1628476863570476,542,62,10,10.416496498078445,-0.4164964980784447,52.03285001823636
