player,season,position,team_name,player_game_count,qb_sack_rate,pass_rush_snaps,pressures,sacks,expected_sacks,sacks_over_expected,snaps_per_xsack
Fletcher Cox,2018,DI,PHI,16,0.20067641596116972,572,95,11,19.48411876281018,-8.48411876281018,29.35724252983874
Aaron Donald,2018,DI,LA,16,0.18581255008301922,552,106,21,19.47442604479685,1.52557395520315,28.344866171164135
Dee Ford,2018,ED,KC,16,0.1938720287979508,518,77,15,15.093584393342056,-0.0935843933420557,34.31921712568788
Chris Jones,2018,DI,KC,16,0.19014231907364892,471,74,16,14.413179992533435,1.5868200074665655,32.678423515420995
Danielle Hunter,2018,ED,MIN,16,0.20314960094816703,478,67,15,14.30459531325225,0.6954046867477501,33.41583522863908
Michael Bennett,2018,ED,PHI,16,0.20186655771416578,513,68,11,14.271479235197928,-3.271479235197928,35.94581833779232
Brandon Graham,2018,ED,PHI,16,0.20421577086841997,517,70,5,14.05731667919321,-9.05731667919321,36.77800051024191
J.J. Watt,2018,ED,HST,16,0.17736968893013372,607,74,17,13.91750725083736,3.0824927491626397,43.614132118629165
Jerry Hughes,2018,ED,BUF,16,0.1906724519704241,375,74,8,13.64405427570786,-5.644054275707861,27.48449928608517
Khalil Mack,2018,ED,CHI,14,0.19323230485203255,441,68,13,13.124184367426123,-0.12418436742612293,33.602088149153886
Melvin Ingram III,2018,ED,LAC,16,0.19713952804300278,505,64,9,12.723992739066787,-3.7239927390667873,39.68879976247441
Demarcus Lawrence,2018,ED,DAL,16,0.203755856322925,456,63,13,12.71306067951948,0.2869393204805206,35.86862451892549
Jabaal Sheard,2018,ED,IND,16,0.21484389413414426,471,56,6,12.599580256631821,-6.599580256631821,37.38219769282298
Ryan Kerrigan,2018,ED,WAS,16,0.19549060753211764,445,61,14,12.59816045249966,1.4018395475003391,35.322617272405466
Frank Clark,2018,ED,SEA,16,0.18699229547235569,441,64,13,12.309922804945739,0.6900771950542612,35.82475755435445
Von Miller,2018,ED,DEN,16,0.18533649813925937,474,64,16,12.30774637152969,3.6922536284703096,38.51233082739323
Myles Garrett,2018,ED,CLV,16,0.1758249829005393,558,67,15,12.19647196883301,2.803528031166991,45.75093530538331
Yannick Ngakoue,2018,ED,JAX,16,0.18586456893809344,459,64,10,11.813018162700187,-1.8130181627001871,38.85543843903505
Cameron Jordan,2018,ED,NO,16,0.18112188830941772,539,65,11,11.795413265246786,-0.7954132652467862,45.69572832077647
Trey Flowers,2018,ED,NE,15,0.18189923618611276,441,64,9,11.786941337684015,-2.7869413376840146,37.41428648584849
Geno Atkins,2018,DI,CIN,16,0.16354233362339884,466,64,9,11.405354858527488,-2.405354858527488,40.858000981142986
Preston Smith,2018,ED,WAS,16,0.19541918748702503,441,53,6,10.988155141118567,-4.9881551411185665,40.13412573232992
Sheldon Richardson,2018,DI,MIN,16,0.20501996691795094,407,47,5,10.529705989459838,-5.529705989459838,38.65255121153469
Bradley Chubb,2018,ED,DEN,16,0.1824821598046907,425,57,13,10.511375862203362,2.488624137796638,40.4323854052454
DeForest Buckner,2018,DI,SF,16,0.19914109717128636,507,53,13,10.38508636006575,2.614913639934249,48.82000807904596
Chris Long,2018,ED,PHI,16,0.2024400126779134,433,53,8,10.240103952380728,-2.2401039523807285,42.28472699237897
