player,season,position,team_name,player_game_count,qb_sack_rate,pass_rush_snaps,pressures,sacks,expected_sacks,sacks_over_expected,snaps_per_xsack
Robert Quinn,2013,ED,SL,16,0.17831826894906316,477,91,19,16.040252455137093,2.959747544862907,29.73768656909354
Greg Hardy,2013,ED,CAR,16,0.1891962284062434,537,82,14,15.237486992858049,-1.2374869928580488,35.24203172424015
Brian Robison,2013,ED,MIN,16,0.18398419297632962,613,83,9,15.187891200334484,-6.187891200334484,40.36110029458862
Gerald McCoy,2013,DI,TB,16,0.19158634807645933,562,80,10,15.07430142591455,-5.07430142591455,37.28199298402339
Cameron Wake,2013,ED,MIA,15,0.19720667893705873,397,71,10,14.121028890399618,-4.121028890399618,28.114098702107047
Ndamukong Suh,2013,DI,DET,16,0.19185298643159623,543,72,5,13.969569031401226,-8.969569031401226,38.87020414011541
J.J. Watt,2013,DI,HST,16,0.1605907544371025,518,85,11,13.966916354197872,-2.9669163541978723,37.08764245905366
Cameron Jordan,2013,DI,NO,16,0,526,77,14,13.748728835231674,0.2512711647683261,38.25808235101006
Mario Williams,2013,ED,BUF,16,0.19796227103463987,547,69,14,13.718995469447568,0.2810045305524316,39.8717239332995
Kyle Williams,2013,DI,BUF,16,0.19738770504423475,533,69,13,13.705291204655987,-0.7052912046559872,38.8900893852535
Tamba Hali,2013,ED,KC,15,0.15158555309720056,501,77,12,12.587542977808418,-0.5875429778084182,39.80125437372907
Chandler Jones,2013,ED,NE,16,0,609,66,13,12.349070889835863,0.650929110164137,49.3154509705867
Rob Ninkovich,2013,ED,NE,16,0,527,68,8,12.337182048121498,-4.337182048121498,42.71639973734868
Carlos Dunlap,2013,ED,CIN,16,0.18304929723103788,568,69,9,12.039935789496838,-3.0399357894968375,47.17633133023024
Calais Campbell,2013,DI,ARZ,16,0.17739866619523878,614,68,11,11.92678708285238,-0.9267870828523801,51.48075468562463
John Abraham,2013,ED,ARZ,16,0.17814702308572936,470,67,12,11.913608985355928,0.08639101464407162,39.45068203746813
Jared Allen,2013,ED,MIN,16,0.1834498435466861,650,65,13,11.743932732153086,1.2560672678469142,55.347728467517506
Jerry Hughes,2013,ED,BUF,16,0.19755484572282742,305,59,11,11.740380881566889,-0.7403808815668889,25.97871424076782
Michael Bennett,2013,ED,SEA,16,0.18020521420744842,379,65,9,11.712493003256492,-2.7124930032564922,32.358610578860066
Charles Johnson,2013,ED,CAR,14,0.18262034268944663,441,64,12,11.600603925663957,0.3993960743360425,38.01526220754576
Robert Mathis,2013,ED,IND,16,0.18025024675245652,455,62,18,11.490125908371342,6.509874091628658,39.59921793968345
