player,season,position,team_name,player_game_count,qb_sack_rate,pass_rush_snaps,pressures,sacks,expected_sacks,sacks_over_expected,snaps_per_xsack
J.J. Watt,2014,DI,HST,16,0.17976808662873028,632,119,21,21.254526985910775,-0.2545269859107755,29.734841919509236
Justin Houston,2014,ED,KC,16,0.17074382823158155,444,85,23,14.331884954296275,8.668115045703725,30.97987469309834
Ryan Kerrigan,2014,ED,WAS,16,0.18507038718910251,441,72,13,13.565048699283578,-0.5650486992835777,32.51001966718268
Everson Griffen,2014,ED,MIN,16,0.1871286186668213,513,64,11,12.692075020897793,-1.6920750208977928,40.41892276521639
Michael Bennett,2014,ED,SEA,16,0.17741045567688268,487,72,6,12.672707122155908,-6.6727071221559076,38.429042453649835
Junior Galette,2014,ED,NO,16,0.18382643353184294,433,66,10,12.518499950561779,-2.518499950561779,34.58880869992485
Jerry Hughes,2014,ED,BUF,16,0.1907756267049017,464,61,12,12.23954847038474,-0.23954847038474014,37.90989521571906
Charles Johnson,2014,ED,CAR,16,0.1718663968383976,478,71,8,12.217809045728126,-4.217809045728126,39.12321744520385
Von Miller,2014,ED,DEN,16,0.1702226779944947,484,71,15,12.063979046417673,2.936020953582327,40.119433077407486
Jason Pierre-Paul,2014,ED,NYG,16,0.19022191236899869,544,60,13,11.814206968182065,1.1857930318179353,46.046256127482515
Cameron Wake,2014,ED,MIA,16,0.17254467560582815,427,65,12,11.77421234119705,0.22578765880295038,36.26569554092042
Ezekiel Ansah,2014,ED,DET,16,0.17440019306589324,416,64,10,11.647322279796853,-1.6473222797968532,35.716363813645216
Pernell McPhee,2014,ED,BLT,16,0.17914230952538102,347,64,8,11.289472392705026,-3.289472392705026,30.736600252835792
Mario Williams,2014,ED,BUF,16,0.18525635720112232,454,60,16,11.284986330787877,4.715013669212123,40.230443058791316
Cliff Avril,2014,ED,SEA,16,0.17764973736574918,431,64,7,11.20587531594067,-4.20587531594067,38.46196641032499
Jared Allen,2014,ED,CHI,15,0.18540055566484845,522,58,6,10.725260777964813,-4.725260777964813,48.67014525860814
Brandon Graham,2014,ED,PHI,16,0.20267138351841443,225,51,6,10.682701048489879,-4.682701048489879,21.062088977188623
Terrell Suggs,2014,ED,BLT,16,0.1758790748203013,486,56,14,10.545454616763973,3.4545453832360273,46.08620658491215
Connor Barwin,2014,ED,PHI,16,0.20141887940073583,349,52,14,10.499347486866863,3.5006525131331365,33.240160918242545
Dwight Freeney,2014,ED,SD,16,0.1758399204615788,373,53,4,10.320083289671956,-6.320083289671956,36.143119152273485
Jeremy Mincey,2014,ED,DAL,16,0.19821031967765163,395,50,6,10.11013701612025,-4.11013701612025,39.0696980041108
