player,season,position,team_name,player_game_count,qb_sack_rate,pass_rush_snaps,pressures,sacks,expected_sacks,sacks_over_expected,snaps_per_xsack
Terrell Suggs,2017,ED,BLT,16,0.19384159199741197,491,77,12,15.133445020386716,-3.1334450203867164,32.44469447231342
Aaron Donald,2017,DI,LA,14,0,483,91,12,14.468863897790134,-2.4688638977901345,33.38202663401719
Khalil Mack,2017,ED,OAK,16,0.17258766705825054,509,79,11,13.866295244592827,-2.866295244592827,36.70771399436955
Demarcus Lawrence,2017,ED,DAL,16,0.17204845444916944,425,79,15,13.673864627016096,1.326135372983904,31.081191133069108
Cameron Jordan,2017,ED,NO,16,0.18547263573932524,548,74,14,13.551645014073388,0.4483549859266116,40.4378951360445
Von Miller,2017,ED,DEN,16,0.1714003787243167,447,83,10,13.52577135629819,-3.52577135629819,33.048022787392256
Calais Campbell,2017,ED,JAX,16,0.18527634331038154,461,73,17,13.375151002237102,3.624848997762898,34.466900592217165
Carlos Dunlap,2017,ED,CIN,16,0.1748765162299271,512,72,8,12.880876522423215,-4.880876522423215,39.74884776736296
Yannick Ngakoue,2017,ED,JAX,16,0.18559777247647258,437,70,13,12.662781015117305,0.33721898488269453,34.51058653531897
Melvin Ingram III,2017,ED,LAC,16,0,486,76,11,12.639608235299722,-1.6396082352997219,38.45055882687139
Joey Bosa,2017,ED,LAC,16,0,491,75,13,12.39846014375872,0.6015398562412795,39.601692009081084
Geno Atkins,2017,DI,CIN,16,0.1755936442092268,468,70,10,12.152582592075804,-2.152582592075804,38.510332799973185
Cameron Wake,2017,ED,MIA,16,0,365,62,11,11.73965632428119,-0.7396563242811904,31.09119976920182
Danielle Hunter,2017,ED,MIN,16,0.18488494570226444,479,61,8,11.596830197747874,-3.596830197747874,41.30439023699965
Chandler Jones,2017,ED,ARZ,16,0,571,76,17,11.496450092744636,5.503549907255364,49.6675056555376
Cameron Heyward,2017,DI,PIT,15,0.1870097875638897,441,62,14,11.469713625277567,2.530286374722433,38.449085514053344
Jadeveon Clowney,2017,ED,HST,16,0.1850107966319907,487,64,8,11.061733736365385,-3.061733736365385,44.02564838448338
