player,season,position,team_name,player_game_count,qb_sack_rate,pass_rush_snaps,pressures,sacks,expected_sacks,sacks_over_expected,snaps_per_xsack
Aaron Donald,2020,DI,LA,15,0.17964614717333743,517,93,15,16.450943222152702,-1.450943222152702,31.42676945743829
Shaquil Barrett,2020,ED,TB,15,0.16409826872647076,466,76,8,12.238066321830285,-4.238066321830285,38.07791098245222
T.J. Watt,2020,ED,PIT,14,0.18435219854392648,415,66,15,12.098484140449234,2.9015158595507664,34.30181791225545
Stephon Tuitt,2020,DI,PIT,13,0.18345023577438474,399,63,10,11.89953674661343,-1.89953674661343,33.53071707716303
Emmanuel Ogbah,2020,ED,MIA,15,0.16773051565193922,458,63,10,10.991102031558674,-0.9911020315586736,41.67007081591526
Cameron Heyward,2020,DI,PIT,14,0.18405826785235144,442,58,5,10.902052140241608,-5.902052140241608,40.54282572805642
Brandon Graham,2020,ED,PHI,15,0.20312433894186802,379,54,8,10.67533230415319,-2.6753323041531907,35.50240771920062
Myles Garrett,2020,ED,CLV,13,0.19740017666040083,435,54,13,10.530399421592506,2.469600578407494,41.30897438781246
Carl Lawson,2020,ED,CIN,15,0.18354393165781993,395,59,6,10.255791653810157,-4.255791653810157,38.514822973539296
Romeo Okwara,2020,ED,DET,15,0.18344796824592666,378,57,9,10.217931158625351,-1.2179311586253512,36.99379004730479
Chris Jones,2020,DI,KC,14,0.1640559893110704,405,60,8,9.84985461532434,-1.8498546153243396,41.11735815571365
Khalil Mack,2020,ED,CHI,15,0.1687343228660866,440,56,9,9.847545188184064,-0.8475451881840641,44.68118618312613
Leonard Williams,2020,DI,NYG,14,0.18775985631207237,406,51,9,9.82546531299687,-0.8254653129968705,41.32119824014377
Joey Bosa,2020,ED,LAC,12,0.1589019451065214,327,61,8,9.687885061774063,-1.6878850617740628,33.75349706513954
Grady Jarrett,2020,DI,ATL,15,0.16566891952817037,524,57,5,9.496489476606104,-4.496489476606104,55.17828470097661
Haason Reddick,2020,ED,ARZ,12,0.1907356806330016,321,47,12,9.411549570516131,2.588450429483869,34.1070296230078
Fletcher Cox,2020,DI,PHI,15,0.21086993886428174,409,43,8,9.410487824458178,-1.410487824458178,43.46214645079239
Brian Burns,2020,ED,CAR,15,0.15572148152200038,390,57,10,9.106092520225685,0.893907479774315,42.828468866724656
Kerry Hyder,2020,ED,SF,15,0.1800789327750972,387,51,9,9.04201556977729,-0.042015569777289485,42.800191728660344
Za'Darius Smith,2020,ED,GB,15,0.17617668340452747,477,50,13,8.991336575370186,4.008663424629814,53.05106710237474
Bradley Chubb,2020,ED,DEN,13,0.1576660237946996,373,54,8,8.960007127370535,-0.9600071273705346,41.62943117093961
DeForest Buckner,2020,DI,IND,14,NA,442,49,8,8.901052699694493,-0.9010526996944925,49.657047869761584
Olivier Vernon,2020,ED,CLV,13,0.18075447630881608,406,49,8,8.669939806842825,-0.6699398068428248,46.82846813764047
Cameron Jordan,2020,ED,NO,15,0.15934461251837598,460,54,8,8.508241866046342,-0.5082418660463421,54.06522372568087
Aldon Smith,2020,ED,DAL,15,0.1828102395190368,390,47,4,8.47052010018121,-4.47052010018121,46.04203701631695
