player,season,position,team_name,player_game_count,qb_sack_rate,pass_rush_snaps,pressures,sacks,expected_sacks,sacks_over_expected,snaps_per_xsack
Za'Darius Smith,2019,ED,GB,16,0.20251679436611997,512,93,16,18.54080107498074,-2.5408010749807417,27.61477230295627
Cameron Jordan,2019,ED,NO,16,0.19710285962601917,542,83,16,16.788250124906195,-0.7882501249061953,32.284484444028884
Aaron Donald,2019,DI,LA,16,0.19841718751469137,539,80,14,16.34794746295332,-2.3479474629533215,32.970499888224346
Danielle Hunter,2019,ED,MIN,16,0.19027513442238125,529,88,15,16.239402798252584,-1.2394027982525841,32.57508952588591
Shaquil Barrett,2019,ED,TB,16,0.18549435236073789,537,82,20,15.30428274852182,4.695717251478181,35.088217384892914
T.J. Watt,2019,ED,PIT,16,0.1874660571142858,481,81,18,14.888460188587159,3.1115398114128414,32.3069003716525
Nick Bosa,2019,ED,SF,16,0.17673942114850605,462,80,10,14.500003487376128,-4.500003487376128,31.862061302414347
Von Miller,2019,ED,DEN,15,0.18909258592148587,438,77,9,14.138511608438415,-5.1385116084384155,30.97921564378704
Chandler Jones,2019,ED,ARZ,16,0.1772075077818931,577,75,19,13.659601852389457,5.340398147610543,42.24134833762128
Joey Bosa,2019,ED,LAC,16,0.1812252622204522,458,70,12,13.507740361334225,-1.5077403613342248,33.9064853001632
Brandon Graham,2019,ED,PHI,16,0.18034339087299656,482,67,9,13.331090250465621,-4.331090250465621,36.15608258170519
Dante Fowler Jr.,2019,ED,LA,16,0.19936355060604863,473,66,15,12.833819321740775,2.1661806782592254,36.8557471585039
Kyle Van Noy,2019,ED,NE,15,0.196914617548321,414,57,7,12.298857139652066,-5.298857139652066,33.661664274906116
Kenny Clark,2019,DI,GB,16,0.199591035737765,496,62,8,12.257040510174097,-4.257040510174097,40.466538361221005
Khalil Mack,2019,ED,CHI,16,0.1661359763844458,495,70,9,11.949150191433255,-2.9491501914332545,41.42554006517401
Justin Houston,2019,ED,IND,16,0.1958989176699752,432,60,11,11.836099514665694,-0.836099514665694,36.49851029595721
Everson Griffen,2019,ED,MIN,15,0.18942741293429816,515,66,9,11.732673460502275,-2.7326734605022747,43.894514045220255
Markus Golden,2019,ED,NYG,16,0.176522944578567,476,64,12,11.511147137392557,0.4888528626074429,41.351221934586526
