player,season,position,team_name,player_game_count,qb_sack_rate,pass_rush_snaps,pressures,sacks,expected_sacks,sacks_over_expected,snaps_per_xsack
Khalil Mack,2016,ED,OAK,16,0.15931951135080394,497,96,11,15.016802798529405,-4.016802798529405,33.09625934813975
Olivier Vernon,2016,ED,NYG,16,0.16891880156796757,612,86,10,14.685938163316205,-4.685938163316205,41.67251647080376
Aaron Donald,2016,DI,LA,16,0.16403552635669263,503,81,8,13.763928449686924,-5.763928449686924,36.54479909850456
Brandon Graham,2016,ED,PHI,16,0.1649352920623239,455,83,6,13.660908608435465,-7.660908608435465,33.30671575674274
Cameron Jordan,2016,ED,NO,16,0.165571201889083,585,79,9,13.3438853809204,-4.343885380920399,43.840304626451264
Von Miller,2016,ED,DEN,16,0.1640847727202218,432,79,14,13.040814318019493,0.9591856819805074,33.12676566547478
Geno Atkins,2016,DI,CIN,16,0.15176401184960003,496,77,10,12.198595291788253,-2.198595291788253,40.66041934630728
Cliff Avril,2016,ED,SEA,16,0.16826218530882733,462,70,13,11.859966680275493,1.1400333197245072,38.95457824248022
Cameron Wake,2016,ED,MIA,16,0.176827950140378,373,66,13,11.837642377948951,1.162357622051049,31.509652690202984
Ryan Kerrigan,2016,ED,WAS,16,0.1575601177635669,447,72,12,11.834632942467724,0.16536705753227565,37.77049969973913
Melvin Ingram III,2016,ED,SD,16,0.16769265384148302,454,70,8,11.803243028755015,-3.8032430287550145,38.4640050953765
Whitney Mercilus,2016,ED,HST,15,0.17688003700249225,434,64,8,11.498033026528297,-3.4980330265282973,37.74558648411201
Carlos Dunlap,2016,ED,CIN,16,0.1498928851170282,511,68,9,10.916086743855928,-1.916086743855928,46.811647066437445
Chandler Jones,2016,ED,ARZ,16,0.16625532081469135,522,66,12,10.86745046514126,1.1325495348587395,48.03334523349169
Everson Griffen,2016,ED,MIN,16,0.156441832998463,523,68,8,10.830838577167148,-2.830838577167148,48.288043097840436
Ndamukong Suh,2016,DI,MIA,16,0.17728930925824718,559,57,6,9.972592069335283,-3.972592069335283,56.053631404303474
Derrick Morgan,2016,ED,TEN,15,0.1455571448647706,444,67,11,9.910853121414064,1.089146878585936,44.79937242139765
Jason Pierre-Paul,2016,ED,NYG,12,0.17588174873433485,465,54,9,9.715241602594604,-0.7152416025946042,47.86293733300617
Joey Bosa,2016,ED,SD,12,0.1692586742696901,341,59,11,9.659837936390339,1.340162063609661,35.300799272769574
Chris Long,2016,ED,NE,16,0.17394437491085893,413,57,5,9.63156735201797,-4.631567352017971,42.87983304331768
Fletcher Cox,2016,DI,PHI,16,0.16412423087346245,458,57,7,9.359939648796239,-2.3599396487962387,48.931939433915304
Calais Campbell,2016,DI,ARZ,16,0.16685714214796918,481,56,9,9.32763331772621,-0.3276333177262103,51.567207202057226
