player,season,position,team_name,player_game_count,qb_sack_rate,pass_rush_snaps,pressures,sacks,expected_sacks,sacks_over_expected,snaps_per_xsack
Tamba Hali,2010,ED,KC,16,0.16685025014174382,521,97,17,15.810268217521484,1.1897317824785159,32.95326763796517
Chris Long,2010,ED,SL,16,0.1772485907718278,542,77,8,14.237477337765508,-6.237477337765508,38.06854171857554
Chris Clemons,2010,ED,SEA,16,0.1816060290707639,467,72,12,13.598807760956719,-1.5988077609567188,34.34124580691514
Charles Johnson,2010,ED,CAR,16,0.16300573419452408,442,81,12,13.023974997069644,-1.0239749970696437,33.937411588969475
DeMarcus Ware,2010,ED,DAL,16,0.16217467621443524,474,77,14,12.68151053511053,1.3184894648894705,37.37725081627026
Dwight Freeney,2010,ED,IND,16,0.17155911330609036,485,74,9,12.466695744158518,-3.4666957441585176,38.90365257588443
Lamarr Woodley,2010,ED,PIT,16,0.18322761609779498,403,66,9,12.389357181441511,-3.389357181441511,32.52791844629913
Trent Cole,2010,ED,PHI,15,0.15667055244314634,464,77,10,11.907451830647062,-1.9074518306470623,38.96719521516518
Ray Edwards,2010,ED,MIN,14,0.16987092475694526,401,68,9,11.753000660153894,-2.7530006601538943,34.11894643718579
Robert Mathis,2010,ED,IND,16,0.17171680232644637,477,66,10,11.189368931315661,-1.189368931315661,42.62974998214789
Jared Allen,2010,ED,MIN,16,0.16407494056152852,531,66,11,11.163709763107336,-0.16370976310733631,47.564833847149394
Terrell Suggs,2010,ED,BLT,16,0.16848486410816083,572,68,12,11.028581871168981,0.9714181288310186,51.86523586457907
Jason Babin,2010,ED,TEN,16,0.1629476826227782,405,64,14,10.816600396158849,3.183399603841151,37.44244819692351
Justin Smith,2010,DI,SF,16,0.18707387980867052,474,56,9,10.791631648875557,-1.7916316488755566,43.922922447912576
Cameron Wake,2010,ED,MIA,16,0,446,65,16,10.682893552500037,5.317106447499963,41.74898849344296
John Abraham,2010,ED,ATL,15,0.1813607103626419,353,57,13,10.637424316454247,2.362575683545753,33.18472493890935
Justin Tuck,2010,ED,NYG,16,0.18922203745024216,477,54,12,10.478072731271014,1.5219272687289855,45.52363895856818
Julius Peppers,2010,ED,CHI,16,0.17550290240157043,531,60,8,10.362335468988537,-2.3623354689885367,51.24327441329505
Antonio Smith,2010,ED,HST,16,0.14771177471575642,522,64,3,10.125927608453212,-7.125927608453212,51.55083269252586
James Harrison,2010,ED,PIT,16,0.18639999483295577,372,57,11,10.022314531148021,0.9776854688519787,37.11717476475852
Cliff Avril,2010,ED,DET,13,0.17694976782576538,337,54,8,9.970968817465687,-1.9709688174656872,33.798119938926355
Clay Matthews,2010,ED,GB,15,0,408,60,13,9.82213358568111,3.17786641431889,41.53883638833726
Raheem Brock,2010,ED,SEA,16,0.1804089496760731,387,54,9,9.78275563863107,-0.7827556386310697,39.559405784580555
Matt Roth,2010,ED,CLV,16,0.18352658469410282,383,53,3,9.757102784827739,-6.7571027848277385,39.25345550275064
Osi Umenyiora,2010,ED,NYG,16,0.1915111624567684,508,49,12,9.598317627671982,2.4016823723280183,52.925941785405634
Israel Idonije,2010,ED,CHI,16,0.18287397866010413,501,48,10,9.129259970826963,0.870740029173037,54.87848977912473
James Hall,2010,ED,SL,16,0.1765926249325906,464,48,10,8.920939891734005,1.0790601082659954,52.01245671769796
Kroy Biermann,2010,ED,ATL,16,0.17794704508680262,398,47,3,8.582918696850957,-5.582918696850957,46.3711720986038
Shaun Phillips,2010,ED,SD,16,0.1847693809564323,400,39,11,8.548649159387121,2.4513508406128786,46.79101838689532
Mario Williams,2010,ED,HST,13,0.14271099841509727,444,60,11,8.453905419453877,2.5460945805461233,52.520104965721565
Tully Banta-Cain,2010,ED,NE,15,0.17683551103798456,441,50,6,8.333066470295067,-2.3330664702950674,52.921694741309864
Kyle Williams,2010,DI,BUF,16,0.1793771894510718,415,42,6,7.9767496879502024,-1.9767496879502024,52.02620318234446
Tommy Kelly,2010,DI,OAK,16,0.17612885228430616,419,43,7,7.869281158093608,-0.8692811580936084,53.245015851169036
Brian Orakpo,2010,ED,WAS,15,0.16586055360320304,404,48,8,7.629992505911934,0.37000749408806577,52.948937982176176
Stylez White,2010,ED,TB,16,0.17721532613170662,389,42,5,7.50664250276258,-2.5066425027625803,51.82077071831261
Will Smith,2010,ED,NO,15,0.1857073053525648,437,44,6,7.386291287479624,-1.386291287479624,59.16365642670378
Chris Kelsay,2010,ED,BUF,16,0.17633424750192458,390,37,4,7.128369782440938,-3.128369782440938,54.71096644855227
Shaun Ellis,2010,DI,NYJ,15,0.19007717049204878,375,38,5,7.113388894656797,-2.113388894656797,52.71748888658122
Ndamukong Suh,2010,DI,DET,16,0.1854397684019138,540,41,11,7.066018964402666,3.933981035597334,76.42209888204702
Lamarr Houston,2010,ED,OAK,16,0.17354255168197205,307,40,5,7.023780360341908,-2.023780360341908,43.70865605841007
Jason Jones,2010,DI,TEN,15,0.16484935734929165,409,40,4,7.0095072765611635,-3.0095072765611635,58.349322407816054
Richard Seymour,2010,DI,OAK,13,0.18742107978177217,332,37,6,6.821342797435499,-0.8213427974354994,48.67076906394679
Anthony Spencer,2010,ED,DAL,16,0.16143903675612642,389,38,5,6.812576414762787,-1.8125764147627867,57.10027694618453
Wallace Gilberry,2010,DI,KC,16,0.16839570615422192,370,40,6,6.746700081032491,-0.7467000810324906,54.84162561786451
Parys Haralson,2010,ED,SF,15,0.18927740867852708,264,38,4,6.700475606927609,-2.7004756069276086,39.4001882085879
Kamerion Wimbley,2010,LB,OAK,16,0.17374576110045642,284,36,11,6.675018350112667,4.324981649887333,42.54669951509667
Alex Brown,2010,ED,NO,16,0.20050815190646465,383,32,2,6.632306126590684,-4.632306126590684,57.747635994130434
Ray McDonald,2010,DI,SF,16,0.19508313872124938,377,33,0,6.236055094370085,-6.236055094370085,60.45488602888641
Calais Campbell,2010,DI,ARZ,15,0.17463077720848744,395,35,6,6.22286684218272,-0.2228668421827198,63.47556681149401
Kevin Williams,2010,DI,MIN,16,0.16435601221557616,523,37,2,6.205166686823306,-4.205166686823306,84.28460126793892
Michael Johnson,2010,ED,CIN,16,0.18769667218849,395,30,3,6.10685567482896,-3.10685567482896,64.68140415174673
Fred Robbins,2010,DI,SL,16,0.1776362046632723,414,33,6,6.005404265578265,-0.005404265578264678,68.93790687380738
Manny Lawson,2010,ED,SF,16,0.19814899330379349,206,31,3,6.00260809375535,-3.0026080937553496,34.31841572570871
Cullen Jenkins,2010,DI,GB,11,0,286,35,7,5.992201625762238,1.0077983742377619,47.728701045439095
Jonathan Babineaux,2010,DI,ATL,15,0.1735609274337057,446,32,4,5.91726834264249,-1.9172683426424904,75.37261691952077
Darnell Dockett,2010,DI,ARZ,15,0.17554452785119595,456,35,5,5.900264806433185,-0.9002648064331851,77.28466686830961
Joey Porter,2010,ED,ARZ,14,0.1750679224098831,381,34,5,5.863915364972898,-0.8639153649728977,64.97365263418342
Corey Williams,2010,DI,DET,16,0.18523161328068052,410,31,3,5.835810737033858,-2.8358107370338583,70.2558767710121
Turk McBride,2010,ED,DET,15,0.19496623114412964,246,28,5,5.83044622741688,-0.8304462274168802,42.19231091493795
Juqua Parker,2010,ED,PHI,13,0.15192057444848722,259,34,6,5.737031918072018,0.2629680819279816,45.145295284855116
Brandon Graham,2010,ED,PHI,13,0.15882821015657667,257,36,3,5.683070255073052,-2.6830702550730523,45.22203465117931
Geno Atkins,2010,DI,CIN,16,0.18122063292942792,269,31,5,5.652865451485969,-0.6528654514859689,47.58648552820021
Kyle Vanden Bosch,2010,ED,DET,11,0.17524798442469117,350,31,5,5.617806102729555,-0.6178061027295554,62.301901062399345
B.J. Raji,2010,DI,GB,16,0,483,35,7,5.608593255548927,1.3914067444510732,86.11785130293383
Aaron Kampman,2010,ED,JAX,8,0.16990321792344176,260,32,5,5.598227351976951,-0.5982273519769512,46.4432727813714
Randy Starks,2010,DI,MIA,16,0,400,31,4,5.53380470349375,-1.5338047034937503,72.28299902731682
Barry Cofield,2010,DI,NYG,16,0.192017892262933,448,29,4,5.5127962190379,-1.5127962190378996,81.26547439806973
Gerald McCoy,2010,DI,TB,13,0.18787279936603934,371,30,4,5.4839549997704236,-1.4839549997704236,67.6519045133542
Jay Ratliff,2010,DI,DAL,16,0.16261529399211952,436,34,4,5.450885825897575,-1.4508858258975748,79.98699916415984
Travis LaBoy,2010,ED,SF,14,0.18179436292978524,161,30,5,5.330980650017815,-0.33098065001781496,30.200822432072037
Marcus Benard,2010,ED,CLV,15,0.18248337849360724,227,32,7,5.29545461348655,1.7045453865134501,42.86695223897731
Shaun Rogers,2010,DI,CLV,15,0.1801903367603728,264,30,3,5.17100346733626,-2.17100346733626,51.05392051419265
Antwan Barnes,2010,ED,SD,11,0.18437840948681997,148,27,4,5.137205192625038,-1.1372051926250384,28.809439072526928
