player,season,position,team_name,player_game_count,qb_sack_rate,pass_rush_snaps,pressures,sacks,expected_sacks,sacks_over_expected,snaps_per_xsack
Chris Long,2011,ED,SL,16,0.17999959451480868,482,83,13,14.609703702947783,-1.6097037029477832,32.99177107217769
Cameron Wake,2011,ED,MIA,16,0.17814517280933176,488,81,9,14.501522153025581,-5.501522153025581,33.65163979687362
Chris Clemons,2011,ED,SEA,16,0.20486619713985268,501,66,12,14.045686859116952,-2.0456868591169517,35.66931293750185
Jason Babin,2011,ED,PHI,16,0.191457897430748,400,67,18,13.315639411239744,4.684360588760256,30.039864226299162
Tamba Hali,2011,ED,KC,16,0,435,61,11,13.215200353167411,-2.215200353167411,32.91664056351136
Justin Smith,2011,DI,SF,16,0.18819297543275854,590,69,7,13.05915272544029,-6.05915272544029,45.17904127506159
Jared Allen,2011,ED,MIN,16,0.18886136342516593,567,66,24,13.04934451469813,10.95065548530187,43.450458324658335
Von Miller,2011,ED,DEN,15,0.20238501847462545,389,60,12,12.924048665585032,-0.9240486655850315,30.09892720660002
Trent Cole,2011,ED,PHI,14,0.1949093270496879,354,67,11,12.799915924986873,-1.7999159249868733,27.65643165741052
Terrell Suggs,2011,ED,BLT,16,0.20282883879333713,504,59,14,12.655105779010173,1.3448942209898274,39.82582277865564
Julius Peppers,2011,ED,CHI,16,0,537,70,12,12.607785034010197,-0.6077850340101971,42.59273128082473
Aldon Smith,2011,ED,SF,16,0.19065806445651803,336,64,15,12.246407715425214,2.753592284574786,27.436617154007074
DeMarcus Ware,2011,ED,DAL,16,0.1832634395639752,451,71,20,11.79722937877298,8.20277062122702,38.2293151654315
Brian Orakpo,2011,ED,WAS,16,0.19195659197086123,383,59,10,11.72604051127839,-1.7260405112783896,32.662346649034795
Jason Pierre-Paul,2011,ED,NYG,16,0.2085814630867106,558,56,16,11.720304852501036,4.279695147498964,47.60968311169197
Clay Matthews,2011,ED,GB,15,0,453,66,6,11.152932651114423,-5.152932651114423,40.617119655495756
Brian Robison,2011,ED,MIN,16,0.18994048056480162,508,54,9,10.96720338429698,-1.9672033842969796,46.319921515029314
Jabaal Sheard,2011,ED,CLV,16,0.20700071651188615,463,54,9,10.912955947033426,-1.912955947033426,42.42663511583786
Ryan Kerrigan,2011,ED,WAS,16,0.18825174480658705,439,57,9,10.911967753323799,-1.9119677533237986,40.231057305524025
John Abraham,2011,ED,ATL,15,0.187478995562796,344,54,10,10.878654605396733,-0.8786546053967328,31.621557304461795
Cliff Avril,2011,ED,DET,16,0.1926949005453141,475,57,11,10.768439912536858,0.2315600874631425,44.11038217773722
Jeremy Mincey,2011,ED,JAX,16,0.1769631311024871,523,57,8,10.493051121173492,-2.493051121173492,49.84250948179029
Kamerion Wimbley,2011,LB,OAK,16,0,430,59,5,10.372041348841153,-5.372041348841153,41.457605647517305
Darnell Dockett,2011,DI,ARZ,16,0.19138470874599262,560,54,4,10.236331460162333,-6.236331460162333,54.70709913794832
Charles Johnson,2011,ED,CAR,15,0.21102173077163464,407,48,10,10.189997432236051,-0.18999743223605137,39.94112880857612
Connor Barwin,2011,ED,HST,16,0.17514176935658265,487,53,12,10.024452503590215,1.975547496409785,48.581206786663216
Robert Mathis,2011,ED,IND,16,0.19027874597506966,413,48,10,9.764281947775979,0.23571805222402098,42.29701704732824
Geno Atkins,2011,DI,CIN,16,0,456,49,8,9.687707616263092,-1.6877076162630917,47.069958968878964
Elvis Dumervil,2011,ED,DEN,14,0.2096250973063238,464,46,12,9.422000110744149,2.5779998892558513,49.24644391278333
Carlos Dunlap,2011,ED,CIN,12,0,278,47,5,9.417217672738204,-4.417217672738204,29.520396539710347
